HouseholdID,SurveyYear,TWSWeek,HHIncome2002_B02ID,HHIncOrig_B01ID,HHoldCountry_B01ID,HHoldNumAdults,HHoldNumChildren,NumVehicles,StationKmTRACC,WalkRailAlt_B01ID,HRPWorkStat_B02ID,HRPSEGWorkStat_B01ID,BusStandard_B01ID,Total_people,Income_per_person,Income_dollars
2002001085,2002,7,1.0,1,1,3,0,0.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002001086,2002,7,1.0,1,1,3,1,3.0,-10.0,-9,2,2,1,4,6250.0,25000.0
2002001087,2002,10,1.0,1,1,2,1,1.0,-10.0,-9,1,4,1,3,8333.333333333334,25000.0
2002001090,2002,9,2.0,1,1,3,3,1.0,-10.0,-9,4,6,1,6,8333.333333333334,50000.0
2002001099,2002,10,1.0,3,1,1,2,0.0,-10.0,-9,2,2,1,3,8333.333333333334,25000.0
2002001100,2002,8,1.0,3,1,2,2,2.0,-10.0,-9,1,1,1,4,6250.0,25000.0
2002001103,2002,8,1.0,1,1,3,0,1.0,-10.0,-9,3,5,1,3,8333.333333333334,25000.0
2002001124,2002,9,1.0,1,1,3,0,0.0,-10.0,-9,2,4,1,3,8333.333333333334,25000.0
2002001125,2002,8,1.0,3,1,3,2,1.0,-10.0,-9,3,5,-8,5,5000.0,25000.0
2002001129,2002,8,1.0,3,1,3,1,2.0,-10.0,-9,2,2,1,4,6250.0,25000.0
2002001144,2002,10,1.0,1,1,3,2,1.0,-10.0,-9,3,5,1,5,5000.0,25000.0
2002001149,2002,11,1.0,1,1,3,0,0.0,-10.0,-9,1,4,1,3,8333.333333333334,25000.0
2002001153,2002,8,1.0,3,1,1,2,1.0,-10.0,-9,2,4,1,3,8333.333333333334,25000.0
2002001160,2002,8,1.0,1,1,3,2,2.0,-10.0,-9,2,2,1,5,5000.0,25000.0
2002001179,2002,8,1.0,1,1,3,0,2.0,-10.0,-9,1,3,1,3,8333.333333333334,25000.0
2002001182,2002,8,1.0,1,1,2,2,1.0,-10.0,-9,2,2,1,4,6250.0,25000.0
2002001184,2002,9,1.0,1,1,3,0,1.0,-10.0,-9,3,5,1,3,8333.333333333334,25000.0
2002001204,2002,10,1.0,1,1,3,0,1.0,-10.0,-9,3,5,1,3,8333.333333333334,25000.0
2002001206,2002,9,1.0,1,1,2,2,1.0,-10.0,-9,1,3,1,4,6250.0,25000.0
2002001216,2002,8,1.0,1,1,3,2,1.0,-10.0,-9,1,3,1,5,5000.0,25000.0
2002001226,2002,7,1.0,1,1,2,1,0.0,-10.0,-9,2,4,1,3,8333.333333333334,25000.0
2002001227,2002,7,1.0,3,1,1,3,0.0,-10.0,-9,4,6,1,4,6250.0,25000.0
2002001231,2002,10,1.0,3,1,1,3,0.0,-10.0,-9,4,6,1,4,6250.0,25000.0
2002001235,2002,9,1.0,1,1,2,1,2.0,-10.0,-9,1,1,1,3,8333.333333333334,25000.0
2002001248,2002,10,1.0,1,1,3,0,1.0,-10.0,-9,2,2,1,3,8333.333333333334,25000.0
2002001256,2002,8,1.0,1,1,2,2,1.0,-10.0,-9,1,1,1,4,6250.0,25000.0
2002001257,2002,9,1.0,1,1,2,1,1.0,-10.0,-9,4,6,1,3,8333.333333333334,25000.0
2002001260,2002,7,1.0,3,1,2,1,2.0,-10.0,-9,1,3,1,3,8333.333333333334,25000.0
